year,round,region_number,region_name,seed,score,team,team.1,score.1,seed.1,text_chunk
1985,1,4,Southeast,6,58,Purdue,Auburn,59,11,"NCAA Tournament Game (1985), Round 1, Southeast region. Purdue (Seed 6) 58 - Auburn (Seed 11) 59. ... Upset: UPSET."
1985,1,4,Southeast,7,79,Notre Dame,Oregon St,70,10,"NCAA Tournament Game (1985), Round 1, Southeast region. Notre Dame (Seed 7) 79 - Oregon St (Seed 10) 70. ... Upset: no upset."
1985,1,4,Southeast,8,51,Villanova,Dayton,49,9,"NCAA Tournament Game (1985), Round 1, Southeast region. Villanova (Seed 8) 51 - Dayton (Seed 9) 49. ... Upset: no upset."
1985,2,1,West,1,68,St Johns,Arkansas,65,9,"NCAA Tournament Game (1985), Round 2, West region. St Johns (Seed 1) 68 - Arkansas (Seed 9) 65. ... Upset: no upset."
1985,2,1,West,2,59,VCU,Alabama,63,7,"NCAA Tournament Game (1985), Round 2, West region. VCU (Seed 2) 59 - Alabama (Seed 7) 63. ... Upset: UPSET."
1985,2,1,West,3,86,NC State,UTEP,73,11,"NCAA Tournament Game (1985), Round 2, West region. NC State (Seed 3) 86 - UTEP (Seed 11) 73. ... Upset: no upset."
1985,2,1,West,4,61,UNLV,Kentucky,64,12,"NCAA Tournament Game (1985), Round 2, West region. UNLV (Seed 4) 61 - Kentucky (Seed 12) 64. ... Upset: UPSET."
1985,2,2,East,1,63,Georgetown,Temple,46,8,"NCAA Tournament Game (1985), Round 2, East region. Georgetown (Seed 1) 63 - Temple (Seed 8) 46. ... Upset: no upset."
1985,2,2,East,2,70,Georgia Tech,Syracuse,53,7,"NCAA Tournament Game (1985), Round 2, East region. Georgia Tech (Seed 2) 70 - Syracuse (Seed 7) 53. ... Upset: no upset."
1985,2,2,East,3,74,Illinois,Georgia,58,6,"NCAA Tournament Game (1985), Round 2, East region. Illinois (Seed 3) 74 - Georgia (Seed 6) 58. ... Upset: no upset."
1985,2,2,East,4,70,Loyola Illinois,SMU,57,5,"NCAA Tournament Game (1985), Round 2, East region. Loyola Illinois (Seed 4) 70 - SMU (Seed 5) 57. ... Upset: no upset."
1985,2,3,Midwest,1,75,Oklahoma,Illinois St,69,9,"NCAA Tournament Game (1985), Round 2, Midwest region. Oklahoma (Seed 1) 75 - Illinois St (Seed 9) 69. ... Upset: no upset."
1985,2,3,Midwest,2,67,Memphis,UAB,66,7,"NCAA Tournament Game (1985), Round 2, Midwest region. Memphis (Seed 2) 67 - UAB (Seed 7) 66. ... Upset: no upset."
1985,2,3,Midwest,3,73,Duke,Boston College,74,11,"NCAA Tournament Game (1985), Round 2, Midwest region. Duke (Seed 3) 73 - Boston College (Seed 11) 74. ... Upset: UPSET."
1985,2,3,Midwest,4,67,Ohio St,Louisiana Tech,79,5,"NCAA Tournament Game (1985), Round 2, Midwest region. Ohio St (Seed 4) 67 - Louisiana Tech (Seed 5) 79. ... Upset: UPSET."
1985,2,4,Southeast,1,55,Michigan,Villanova,59,8,"NCAA Tournament Game (1985), Round 2, Southeast region. Michigan (Seed 1) 55 - Villanova (Seed 8) 59. ... Upset: UPSET."
1985,2,4,Southeast,2,60,North Carolina,Notre Dame,58,7,"NCAA Tournament Game (1985), Round 2, Southeast region. North Carolina (Seed 2) 60 - Notre Dame (Seed 7) 58. ... Upset: no upset."
1985,2,4,Southeast,3,64,Kansas,Auburn,66,11,"NCAA Tournament Game (1985), Round 2, Southeast region. Kansas (Seed 3) 64 - Auburn (Seed 11) 66. ... Upset: UPSET."
